crypto,indices,tech,financials,industrial,travel,consumers,china,international
BTC-CAD,^GSPC,AAPL,AFRM,CAT,AAL,ADDYY,000001.SS,^N225
ETH-CAD,^IXIC,AI,AXP,CNQ.TO,ABNB,AMC,^HSI,^GDAXI 
CRO-CAD,^GSPTSE,AMD,CM.TO,ENB.TO,AC.TO,ATZ.TO,BABA,^FCHI
ADA-CAD,^DJI,AMZN,COIN,FDX,BA,BBBY,BILI,^N100
LRC-CAD,,ASAN,CS,LMT,CCL,BBY,CQQQ,^FTSE
,,BIGC,DPST,MP,DAL,BIRD,FUTU,
,,CRM,GS,ROK,EXPE,BYND,NIO,
,,DASH,HOOD,SU.TO,MAR,COST,PDD,
,,DDD,HSBC,UPS,RCL,DIS,TIGR,
,,DKNG,JPM,ZIM,UAL,EL,XPEV,
,,EA,MA,,,GME,,
,,FSLY,PYPL,,,GOOS,,
,,GFS,RY.TO,,,JEWL,,
,,GOOGL,SI,,,LOGI,,
,,HUT,TD.TO,,,LULU,,
,,INTC,UPST,,,MCD,,
,,LCID,V,,,NKE,,
,,MARA,Z,,,PLAY,,
,,META,,,,PLNT,,
,,MSFT,,,,RETL,,
,,MU,,,,RICK,,
,,NFLX,,,,SBUX,,
,,NKLA,,,,WEED.TO,,
,,NOW,,,,WW,,
,,NVDA,,,,,,
,,PINS,,,,,,
,,PLTR,,,,,,
,,QQQ,,,,,,
,,RIVN,,,,,,
,,SE,,,,,,
,,SHOP,,,,,,
,,SNOW,,,,,,
,,SPCE,,,,,,
,,SPLK,,,,,,
,,SQ,,,,,,
,,STEM,,,,,,
,,TEAM,,,,,,
,,TSLA,,,,,,
,,TSM,,,,,,
,,UBER,,,,,,
,,WDAY,,,,,,
